,0,1,2,3
108,19,12,13,16
109,14,12,16,18
110,16,17,7,20
111,21,15,7,17
112,22,14,8,16
113,18,12,13,17
114,20,15,11,14
115,21,12,11,16
116,17,20,8,15
117,15,23,9,13
118,14,18,9,19
119,14,24,7,15
120,19,19,10,12
121,17,20,9,14
122,17,14,11,18
123,20,16,11,13
124,12,18,10,20
125,18,13,14,15
126,16,27,6,11
127,20,17,13,10
128,15,19,15,11
129,28,11,10,11
130,22,14,13,11
131,20,17,9,14
132,13,14,13,20
133,20,18,9,13
134,16,14,16,14
135,12,17,14,17
136,16,17,7,20
137,11,12,9,28
138,9,16,16,19
139,19,18,8,15
140,13,12,8,27
141,12,13,18,17
142,17,27,9,7
143,14,20,13,13
144,12,14,20,14
145,17,19,14,10
146,10,18,12,20
147,20,11,12,17
148,24,18,8,10
149,16,15,8,21
150,19,14,15,12
151,15,16,11,18
152,15,16,12,17
153,22,15,8,15
154,14,21,15,10
155,16,20,13,11
156,8,18,10,24
157,20,13,12,15
158,14,19,10,17
159,15,16,10,19
160,20,15,12,13
161,10,17,14,19
162,12,15,15,18
163,20,21,12,7
164,15,18,12,15
165,18,10,16,16
166,13,16,15,16
167,18,19,10,13
168,11,19,10,20
169,12,22,13,13
170,11,19,9,21
171,12,18,16,14
172,19,15,13,13
173,15,13,15,17
174,12,23,13,12
175,6,18,12,24
176,13,16,18,13
177,14,17,9,20
178,13,21,10,16
179,11,19,13,17
180,7,20,16,17
181,9,18,20,13
182,9,20,14,17
183,13,23,13,11
184,9,27,13,11
185,12,18,14,16
186,16,15,15,14
187,9,28,10,13
188,9,26,12,13
189,11,13,26,10
190,12,20,14,14
191,15,19,18,8
192,11,17,14,18
193,10,20,10,20
194,15,14,15,16
195,6,25,16,13
196,6,28,13,13
197,10,13,22,15
198,12,25,11,12
199,15,14,12,19
200,10,22,16,12
201,12,14,12,22
202,13,18,16,13
203,12,18,14,16
204,11,17,16,16
205,15,24,12,9
206,15,18,14,13
207,11,19,14,16
208,18,20,17,5
209,8,27,10,15
210,14,16,16,14
211,9,24,20,7
212,10,17,16,17
213,9,18,14,19
214,12,13,21,14
215,11,22,13,14
216,14,14,18,14
217,15,14,19,12
218,12,21,14,13
219,15,18,12,15
220,11,9,23,17
221,11,17,19,13
222,11,23,14,12
223,12,18,19,11
224,15,17,13,15
225,9,25,13,13
226,16,18,12,14
227,13,16,14,17
228,12,15,22,11
229,11,17,15,17
230,11,16,14,19
231,17,15,15,13
232,15,17,14,14
233,12,18,19,11
234,10,16,17,17
235,13,20,17,10
236,12,19,19,10
237,10,17,14,19
238,15,20,12,13
239,12,12,20,16
240,12,16,22,10
241,11,25,14,10
242,12,17,17,14
243,10,14,17,19
244,7,19,16,18
245,14,13,14,19
246,10,19,18,13
247,13,17,20,10
248,13,14,18,15
249,12,14,17,17
250,9,17,17,17
251,7,18,21,14
252,9,18,19,14
253,10,15,18,17
254,15,18,13,14
255,10,14,23,13
256,15,16,11,18
257,9,17,20,14
258,15,14,20,11
259,9,16,17,18
260,9,23,11,17
261,14,17,13,16
262,12,15,19,14
263,16,12,17,15
264,16,19,17,8
265,11,16,19,14
266,17,18,11,14
267,11,19,17,13
268,8,18,15,19
269,13,14,18,15
270,14,16,18,12
271,17,15,17,11
272,16,12,14,18
273,9,14,20,17
274,8,22,13,17
275,12,7,20,21
276,9,16,19,16
277,11,18,19,12
278,10,13,25,12
279,17,13,20,10
280,12,16,15,17
281,12,15,15,18
282,11,14,17,18
283,12,20,15,13
284,8,16,17,19
285,10,17,20,13
286,13,11,23,13
287,16,9,22,13
288,9,12,19,20
289,16,15,15,14
290,13,13,27,7
291,16,21,11,12
292,17,9,17,17
293,12,12,19,17
294,16,9,16,19
295,16,21,15,8
296,12,12,20,16
297,13,14,20,13
298,9,17,20,14
299,8,19,21,12
300,7,10,24,19
301,10,13,22,15
302,13,18,17,12
303,13,10,18,19
304,10,12,19,19
305,13,15,17,15
306,10,11,19,20
307,12,11,20,17
308,15,4,20,21
309,10,20,17,13
310,14,21,11,14
311,13,11,22,14
312,12,14,24,10
313,14,15,16,15
314,13,11,18,18
315,8,16,18,18
316,11,18,20,11
317,19,7,15,19
318,10,15,21,14
319,17,16,12,15
320,16,9,22,13
321,17,14,14,15
322,12,13,23,12
323,13,15,16,16
324,9,14,24,13
325,17,15,11,17
326,14,11,20,15
327,14,12,20,14
328,13,12,16,19
329,8,17,19,16
330,16,12,20,12
331,15,16,13,16
332,12,15,20,13
333,14,13,16,17
334,15,11,18,16
335,16,12,14,18
336,14,19,14,13
337,15,16,12,17
338,10,11,25,14
339,12,13,16,19
340,12,18,14,16
341,14,9,22,15
342,11,17,16,16
343,18,6,18,18
344,9,12,16,23
345,15,7,18,20
346,15,8,21,16
347,16,11,20,13
348,17,10,20,13
349,15,13,19,13
350,14,7,17,22
351,15,13,22,10
352,8,10,23,19
353,10,12,22,16
354,16,11,24,9
355,20,15,10,15
356,14,18,13,15
357,15,13,14,18
358,18,7,22,13
359,15,12,16,17
360,12,8,24,16
361,11,16,20,13
362,17,9,19,15
363,15,14,15,16
364,20,4,19,17
